id_recurso_campus;nome;capacidade;descricao;inicio_horario_funcionamento;fim_horario_funcionamento;campus_id_campus
1;Laboratório de ensino em Biologia;8;Vinculado ao curso de Bacharelado em Cências Biológicas;08:00:00;18:00:00;2
2;Laboratório multidisciplinar de biologia I;8;Vinculado ao curso de Bacharelado em Ciências Biológicas;08:00:00;18:00:00;2
3;Laboratório multidisciplinar de biologia II;8;Vinculado ao curso de Bacharelado em Ciências Biológicas;08:00:00;18:00:00;2
4;Laboratório de Informática;8;Campus;08:00:00;22:00:00;2
5;Sala de Aula Inteligente I;8;Campus;08:00:00;22:00:00;2
6;Sala de Aula Inteligente II;8;Campus;08:00:00;22:00:00;2
7;Laboratório de Ensino e Pesquisa Aplicada a Computação;8;Vinculado ao curso de Bacharelado em Sistemas de Informação;08:00:00;22:00:00;2
8;Biblioteca;8;Campus;14:00:00;18:00:00;2
9;Area Comum de Convivência;12;Campus;08:00:00;22:00:00;2
10;Auditorio;12;Campus;08:00:00;22:00:00;2
11;Carteirinha;14;Campus;08:00:00;18:00:00;2
12;Chips Claro - Projeto Alunos Conectados;245;Campus;08:00:00;18:00:00;2
