nome;capacidade;descricao;inicio_horario_funcionamento;fim_horario_funcionamento;campus
Laboratório de ensino em Biologia;8;Vinculado ao curso de Bacharelado em Ciências Biológicas;08:00:00;18:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
Laboratório multidisciplinar de biologia I;8;Vinculado ao curso de Bacharelado em Ciências Biológicas;08:00:00;18:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
Laboratório multidisciplinar de biologia II;8;Vinculado ao curso de Bacharelado em Ciências Biológicas;08:00:00;18:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
Laboratório de Informática;8;Campus;08:00:00;22:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
Sala de Aula Inteligente I;8;Campus;08:00:00;22:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
Sala de Aula Inteligente II;8;Campus;08:00:00;22:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
Laboratório de Ensino e Pesquisa Aplicada a Computação;8;Vinculado ao curso de Bacharelado em Sistemas de Informação;08:00:00;22:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
Biblioteca;8;Campus;14:00:00;18:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
Area Comum de Convivência;12;Campus;08:00:00;22:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
Auditorio;12;Campus;08:00:00;22:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
Carteirinha;;Campus;08:00:00;18:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
Chips Claro - Projeto Alunos Conectados;245;Campus;08:00:00;18:00:00;Campus Oriximiná - Prof. Dr. Domingos Diniz
